settlement_name,osm_relation_id
Aba,1402808
Abaliget,1606342
Abasár,1417304
Abaújalpár,1317821
Abaújkér,1317762
Abaújlak,1391023
Abaújszolnok,1391024
Abaújszántó,1280990
Abaújvár,1280983
Abda,1440629
Abod,1317773
Abony,1319915
Abádszalók,1325119
Acsa,1375466
Acsalag,1483311
Acsád,1131678
Adony,1420598
Adorjánháza,1078447
Adorjás,575113
Adács,1417484
Adásztevel,1078626
Aggtelek,1317826
Agyagosszergény,1483469
Ajak,1453538
Ajka,1078501
Aka,1027803
Akasztó,1130332
Alacska,1428656
Alap,1403023
Alattyán,1323442
Albertirsa,1323261
Alcsútdoboz,1370220
Aldebrő,1417305
Algyő,1025064
Alibánfa,1357192
Almamellék,575120
Almásfüzitő,1608474
Almásháza,1359703
Almáskamarás,1026175
Almáskeresztúr,575252
Alsóberecki,1317353
Alsóbogát,1367878
Alsódobsza,1439559
Alsógagy,1317829
Alsómocsolád,575341
Alsónemesapáti,1359601
Alsónyék,1501299
Alsónána,1501297
Alsónémedi,214783
Alsópetény,1373920
Alsópáhok,1358253
Alsórajk,1358085
Alsóregmec,1432030
Alsószenterzsébet,1311790
Alsószentiván,1403110
Alsószentmárton,575196
Alsószuha,1418035
Alsószölnök,1131427
Alsótelekes,1607539
Alsótold,1370520
Alsóvadász,1391174
Alsózsolca,1440883
Alsóörs,1078460
Alsóújlak,1131460
Ambrózfalva,1025076
Anarcs,1452611
Andocs,1367841
Andornaktálya,1418116
Andrásfa,1131484
Annavölgy,1027772
Apagy,1447639
Apaj,222348
Aparhant,1501364
Apc,1417677
Apostag,1130412
Apácatorna,1078482
Apátfalva,1025109
Apátistvánfalva,1131404
Apátvarasd,575179
Aranyosapáti,1453873
Aranyosgadány,575216
Arka,1280976
Arló,1426685
Arnót,1440898
Aszaló,1440930
Aszód,1607378
Aszófő,1078598
Atkár,1417487
Attala,1502209
Babarc,575136
Babarcszőlős,575365
Babosdöbréte,1358050
Babócsa,1367977
Babót,1483468
Badacsonytomaj,1078570
Badacsonytördemic,1078520
Bag,1390978
Bagamér,1452162
Baglad,1311785
Bagod,1357109
Baj,1027769
Baja,1130381
Bajna,1027812
Bajánsenye,1131417
Bajót,1027832
Bak,1607254
Bakháza,1367978
Bakonszeg,1444178
Bakonya,575171
Bakonybánk,1027790
Bakonybél,1078629
Bakonycsernye,1370211
Bakonygyirót,1440714
Bakonyjákó,1078456
Bakonykoppány,1078514
Bakonykúti,1361437
Bakonynána,1078496
Bakonyoszlop,1078579
Bakonypéterd,1440711
Bakonypölöske,1078502
Bakonyszentiván,1078486
Bakonyszentkirály,1078630
Bakonyszentlászló,1440717
Bakonyszombathely,1027808
Bakonyszücs,1078566
Bakonyság,1078635
Bakonysárkány,1027828
Bakonytamási,1078468
Baks,1025078
Baksa,575354
Baktakék,1317761
Baktalórántháza,1452142
Baktüttös,1356969
Bakóca,575194
Balajt,1317784
Balassagyarmat,1370323
Balaton,1415526
Balatonakali,1078552
Balatonakarattya,3854416
Balatonalmádi,1078573
Balatonberény,1368066
Balatonboglár,1367832
Balatoncsicsó,1078574
Balatonederics,1078472
Balatonendréd,1367991
Balatonfenyves,1368071
Balatonföldvár,1367849
Balatonfüred,1078616
Balatonfőkajár,1078543
Balatonfűzfő,1078463
Balatongyörök,1360488
Balatonhenye,1078488
Balatonkenese,1078608
Balatonkeresztúr,1367917
Balatonlelle,1368026
Balatonmagyaród,1599350
Balatonmáriafürdő,1367884
Balatonrendes,1078513
Balatonszabadi,1367931
Balatonszemes,1367995
Balatonszentgyörgy,1367866
Balatonszepezd,1078535
Balatonszárszó,1367894
Balatonszőlős,1078596
Balatonudvari,1078623
Balatonvilágos,1458087
Balatonújlak,1367833
Balatonőszöd,1368008
Balinka,1370210
Balkány,1447644
Ballószög,1130396
Balmazújváros,1407074
Balogunyom,1131682
Balotaszállás,1130348
Balsa,1453500
Balástya,1025042
Bana,1027774
Barabás,1456932
Baracs,1420732
Baracska,1370245
Baranyahídvég,575360
Baranyajenő,575222
